artist_s__name_clean,total_musicas,total_streams
brenda lee,1,769213520
bobby helms,1,741301563
burl ives,1,395591396
chris rea,1,429504768
nat king cole,2,516799679
chuck berry,1,245350949
frank sinatra,1,178660459
musical youth,1,195918494
aerosmith,1,838586769
wham,1,1159176109
shakin stevens,1,351636786
lady gaga,2,610826730
justin bieber,3,3919813522
ed sheeran,9,13908947204
paloma faith,1,588955257
demi lovato,1,677389855
willow,1,924193303
panic at the disco,1,582863434
sia,2,1629949620
masked wolf,1,1138474110
ti,1,1062345656
the weeknd,21,14054897067
david kushner,2,511978174
stromae,1,108809090
sim,1,71014967
enhypen,3,365477661
charlie puth,2,646703472
armani white,1,277132266
em beihold,1,258714692
z fe,1,154119539
the kid laroi,2,392280108
rosal,2,907358070
tomorrow x together,1,107642809
morgan wallen,11,1666199217
bad bunny,19,9997799607
tate mcrae,2,1523292028
labrinth,7,2312730131
dove cameron,1,496311364
future,2,304965349
treasure,1,182978249
jack harlow,3,1038470158
nmixx,1,135444283
sam ryder,1,54682594
metallica,1,704171068
billie eilish,5,2616432448
xxxtentacion,2,2223066724
duncan laurence,1,991336132
dua lipa,3,3227639000
mne,4,2675632206
kalush,1,53729194
stray kids,2,277731036
paulo londra,2,330227609
leah kate,1,185550869
yahritza y su esencia,1,126443991
daddy yankee,2,815714311
shawn mendes,3,2256812464
nicki minaj,2,510105069
nf,1,52722996
melanie martinez,1,67070410
sales,1,156658366
polo g,1,797402345
sleepy hallow,1,624515457
lil tjay,1,190981339
bigbang,1,53909146
omar apollo,1,227918678
lil baby,2,187339412
jessi,1,136996305
jack black,1,68216992
southstar,1,154356956
mac demarco,1,244658767
tones and i,1,2864791672
olivia rodrigo,7,7442148916
le sserafim,2,530549573
taylor swift,34,14053658300
doja cat,6,4702294655
kendrick lamar,12,3033135947
victor cibrian,1,164856284
harry styles,17,11608645649
pnb rock,1,380319238
juice wrld,2,2474103659
jaymes young,1,888046992
halsey,1,91781263
bts,8,4389891591
yung gravy,1,221752937
drake,4,655542929
beyonc,3,1122304190
lil yachty,1,115331792
nayeon,1,213505179
nessa barrett,1,131746175
vundabar,1,370068639
oliver tree,1,501541661
jhope,1,155795783
sofia carson,1,97610446
steve lacy,3,1945132459
treyce,1,70069745
john legend,1,2086124197
yung lean,1,240769997
the rare occasions,1,421135627
lauren spencer smith,1,184826429
gayle,1,1007612429
