track_id_atualizado,track_name_clean,artist_s__name_clean,count_songs,artist_count,data_de_lancamento,streams,in_spotify_charts,in_spotify_playlists,in_apple_charts,in_apple_playlists,in_deezer_charts,in_deezer_playlists,total_participation_in_playlist,bpm,danceability__,valence__,energy__,acousticness__,instrumentalness__,liveness__,speechiness__,terciles_streams,categoria_streams,terciles_bpm,categoria_bpm,terciles_danceability,categoria_danceability,terciles_valence,categoria_valence,terciles_energy,categoria_energy,terciles_acousticness,categoria_acousticness,terciles_instrumentalness,categoria_instrumentalness,terciles_liveness,categoria_liveness,terciles_speechiness,categoria_speechiness
8576945,rockin around the christmas tree,brenda lee,1,1,1958-01-01,769213520,0,14994,168,191,0,206,15391,140,70,85,41,71,0,45,5,3,alto,3,alto,2,medio,3,alto,1,baixo,3,alto,1,baixo,3,alto,2,medio
6372609,jingle bell rock,bobby helms,1,1,1957-01-01,741301563,0,10326,99,165,0,104,10595,119,74,78,37,84,0,6,3,3,alto,2,medio,2,medio,3,alto,1,baixo,3,alto,2,medio,1,baixo,1,baixo
4002890,a holly jolly christmas  single version,burl ives,1,1,1952-01-01,395591396,0,7930,120,108,0,73,8111,140,67,81,36,64,0,15,3,2,medio,3,alto,2,medio,3,alto,1,baixo,3,alto,3,alto,2,medio,1,baixo
6593931,driving home for christmas  2019 remaster,chris rea,1,1,1986-01-01,429504768,0,888,0,50,0,6,944,180,51,87,58,36,0,18,4,2,medio,3,alto,1,baixo,3,alto,2,medio,3,alto,1,baixo,3,alto,1,baixo
8167749,deck the hall  remastered 1999,nat king cole,2,1,1959-01-01,127027715,0,3299,39,65,0,41,3405,107,69,96,36,81,0,8,4,1,baixo,2,medio,2,medio,3,alto,1,baixo,3,alto,3,alto,1,baixo,1,baixo
8597238,run rudolph run  single version,chuck berry,1,1,1958-01-01,245350949,0,8612,30,120,0,52,8784,152,69,94,71,79,0,7,8,2,medio,3,alto,2,medio,3,alto,2,medio,3,alto,3,alto,1,baixo,2,medio
3092002,jingle bells  remastered 1999,frank sinatra,1,1,1957-01-01,178660459,0,4326,3,32,0,65,4423,175,51,94,34,73,0,10,5,1,baixo,3,alto,1,baixo,3,alto,1,baixo,3,alto,1,baixo,1,baixo,2,medio
8729578,pass the dutchie,musical youth,1,1,1982-01-01,195918494,0,5328,76,54,0,900,6282,151,73,88,67,20,0,32,5,2,medio,3,alto,2,medio,3,alto,2,medio,2,medio,2,medio,3,alto,2,medio
1534505,dream on,aerosmith,1,1,1973-01-05,838586769,0,168,0,0,0,5,173,80,39,24,43,39,0,23,3,3,alto,1,baixo,1,baixo,1,baixo,1,baixo,3,alto,2,medio,3,alto,1,baixo
7224008,last christmas,wham,1,1,1984-01-01,1159176109,0,22153,111,274,0,1302,23729,107,74,88,65,28,0,46,3,3,alto,2,medio,2,medio,3,alto,2,medio,2,medio,2,medio,3,alto,1,baixo
4738813,merry christmas everyone,shakin stevens,1,1,1984-01-01,351636786,0,1087,35,90,0,5,1182,101,72,91,87,14,0,13,3,2,medio,1,baixo,2,medio,3,alto,3,alto,2,medio,2,medio,2,medio,1,baixo
7921549,bloody mary,lady gaga,2,1,2011-01-01,372476382,0,3909,26,66,3,277,4252,100,59,49,65,2,0,13,3,2,medio,1,baixo,1,baixo,2,medio,2,medio,1,baixo,1,baixo,2,medio,1,baixo
5666047,mistletoe,justin bieber,3,1,2011-01-01,629173063,0,9577,111,195,0,310,10082,162,67,88,54,51,0,9,4,3,alto,3,alto,2,medio,3,alto,1,baixo,3,alto,2,medio,1,baixo,1,baixo
3181974,thinking out loud,ed sheeran,9,1,2014-01-01,2280566092,0,33032,129,363,0,3895,37290,79,78,58,45,47,0,18,3,3,alto,1,baixo,3,alto,2,medio,1,baixo,3,alto,1,baixo,3,alto,1,baixo
2061482,only love can hurt like this,paloma faith,1,1,2014-01-01,588955257,0,5148,22,90,0,365,5603,91,57,30,89,10,0,33,8,3,alto,1,baixo,1,baixo,1,baixo,3,alto,2,medio,1,baixo,3,alto,2,medio
1904373,cool for the summer,demi lovato,1,1,2015-01-01,677389855,0,9243,5,155,0,577,9975,114,59,30,62,1,0,8,4,3,alto,2,medio,1,baixo,1,baixo,2,medio,1,baixo,3,alto,1,baixo,1,baixo
7792660,wait a minute,willow,1,1,2015-01-11,924193303,0,11985,80,79,3,250,12314,101,76,63,71,3,0,10,3,3,alto,1,baixo,3,alto,2,medio,2,medio,1,baixo,1,baixo,1,baixo,1,baixo
7498965,house of memories,panic at the disco,1,1,2016-01-15,582863434,0,2948,2,10,0,150,3108,110,51,48,82,0,0,5,3,3,alto,2,medio,1,baixo,2,medio,3,alto,1,baixo,1,baixo,1,baixo,1,baixo
2886961,snowman,sia,2,1,2017-01-01,690104769,0,5140,110,85,0,500,5725,105,72,33,51,48,0,9,3,3,alto,1,baixo,2,medio,1,baixo,1,baixo,3,alto,2,medio,1,baixo,1,baixo
6047703,astronaut in the ocean,masked wolf,1,1,2019-01-01,1138474110,0,7191,18,146,0,478,7815,150,78,47,70,18,0,15,9,3,alto,3,alto,3,alto,2,medio,2,medio,2,medio,3,alto,2,medio,3,alto
3557036,the business,ti,1,1,2020-01-01,1062345656,0,14311,32,255,0,582,15148,120,80,24,62,41,2,11,23,3,alto,2,medio,3,alto,1,baixo,2,medio,3,alto,3,alto,2,medio,3,alto
7726159,sacrifice,the weeknd,21,1,2022-01-07,326792833,0,4440,77,81,0,133,4654,122,70,91,79,3,0,7,10,2,medio,2,medio,2,medio,3,alto,3,alto,1,baixo,1,baixo,1,baixo,3,alto
7853001,out of time,the weeknd,21,1,2022-01-07,339659802,0,3711,88,49,0,62,3822,93,65,82,74,27,0,32,5,2,medio,1,baixo,2,medio,3,alto,3,alto,2,medio,3,alto,3,alto,2,medio
4501584,how do i make you love me,the weeknd,21,1,2022-01-07,119238316,0,1915,47,7,0,15,1937,121,80,62,51,2,0,9,8,1,baixo,2,medio,3,alto,2,medio,1,baixo,1,baixo,1,baixo,1,baixo,2,medio
6131592,gasoline,the weeknd,21,1,2022-01-07,116903579,0,2297,29,11,0,14,2322,123,74,35,73,0,0,21,5,1,baixo,2,medio,2,medio,1,baixo,2,medio,1,baixo,1,baixo,3,alto,2,medio
5426643,less than zero,the weeknd,21,1,2022-01-07,200660871,0,2800,77,18,0,61,2879,143,53,50,79,0,0,8,3,2,medio,3,alto,1,baixo,2,medio,3,alto,1,baixo,1,baixo,1,baixo,1,baixo
6386843,best friends,the weeknd,21,1,2022-01-07,101114984,0,1292,18,3,0,14,1309,87,49,49,59,44,0,35,21,1,baixo,1,baixo,1,baixo,2,medio,2,medio,3,alto,1,baixo,3,alto,3,alto
7175350,dawn fm,the weeknd,21,1,2022-01-07,53933526,0,811,8,1,0,6,818,78,27,10,49,62,0,49,5,1,baixo,1,baixo,1,baixo,1,baixo,1,baixo,3,alto,2,medio,3,alto,2,medio
2717112,starry eyes,the weeknd,21,1,2022-01-07,74601456,0,1014,17,1,0,11,1026,86,28,13,41,50,0,19,3,1,baixo,1,baixo,1,baixo,1,baixo,1,baixo,3,alto,2,medio,3,alto,1,baixo
2038144,dont break my,the weeknd,21,1,2022-01-07,63803529,0,1184,5,1,0,6,1191,122,77,25,62,34,0,23,3,1,baixo,2,medio,3,alto,1,baixo,2,medio,3,alto,1,baixo,3,alto,1,baixo
